filename,size_x,size_y,size_z,spacing_x,spacing_y,spacing_z,origin_x,origin_y,origin_z,mean_intensity,min_intensity,max_intensity
01_patient.nii.gz,512,512,139,0.7617189884185791,0.7617189884185791,2.5,-195.0,-171.6999969482422,-347.75,-1070.9689671633055,-3024.0,3071.0
02_patient.nii.gz,512,512,139,0.7617189884185791,0.7617189884185791,2.5,-195.0,-171.6999969482422,-347.75,-1070.9689671633055,-3024.0,3071.0
03_patient.nii.gz,512,512,139,0.7617189884185791,0.7617189884185791,2.5,-195.0,-171.6999969482422,-347.75,-1070.9689671633055,-3024.0,3071.0
04_patient.nii.gz,512,512,139,0.7617189884185791,0.7617189884185791,2.5,-195.0,-171.6999969482422,-347.75,-1070.9689671633055,-3024.0,3071.0
05_patient.nii.gz,512,512,139,0.7617189884185791,0.7617189884185791,2.5,-195.0,-171.6999969482422,-347.75,-1070.9689671633055,-3024.0,3071.0
